email,course_id
8929709@flowghost.test,1
8888313@flowghost.test,1
2615773@flowghost.test,1
4467122@flowghost.test,1
4992826@flowghost.test,1
8140478@flowghost.test,1
6297023@flowghost.test,1
1472192@flowghost.test,1
8756660@flowghost.test,1
8143550@flowghost.test,1
786386@flowghost.test,1
5727301@flowghost.test,1
4560850@flowghost.test,1
2578925@flowghost.test,1
7579013@flowghost.test,1
6382230@flowghost.test,1
8399322@flowghost.test,1
2809603@flowghost.test,1
6919116@flowghost.test,1
6676727@flowghost.test,1
6081253@flowghost.test,1
379578@flowghost.test,1
3205880@flowghost.test,1
3120747@flowghost.test,1
5059317@flowghost.test,1
4294107@flowghost.test,1
5565842@flowghost.test,1
8085126@flowghost.test,1
9912455@flowghost.test,1
7637858@flowghost.test,1
1750665@flowghost.test,1
4568665@flowghost.test,1
2441030@flowghost.test,1
6091804@flowghost.test,1
5986815@flowghost.test,1
2979666@flowghost.test,1
6839906@flowghost.test,1
8525669@flowghost.test,1
2095499@flowghost.test,1
7580548@flowghost.test,1
4906036@flowghost.test,1
5784503@flowghost.test,1
5794080@flowghost.test,1
2412534@flowghost.test,1
5587497@flowghost.test,1
1766405@flowghost.test,1
9904515@flowghost.test,1
2348389@flowghost.test,1
534689@flowghost.test,1
7606932@flowghost.test,1
9060391@flowghost.test,1
9976822@flowghost.test,1
5022136@flowghost.test,1
1591571@flowghost.test,1
